True Positive Rate,False Positive Rate,,,,
1,1,,,,
1,1,,,,
1,1,,Confusion Matrix,,
1,1,,,Actual class,
1,1,,Predicted,Positive (dense),Negative ( not dense)
1,1,,Positive (dense),0,0
1,1,,Negative (not dense),18,13
1,1,,,,
1,1,,,,
1,1,,,,
1,1,,,,
1,1,,,,
1,1,,,,
1,1,,,,
1,1,,,,
1,1,,,,
1,1,,,,
1,1,,,,
1,1,,,,
1,1,,,,
1,1,,,,
1,1,,,,
1,1,,,,
1,1,,,,
1,1,,,,
1,1,,,,
1,1,,,,
1,1,,,,
1,1,,,,
1,0.923076923,,,,
1,0.923076923,,,,
1,0.846153846,,,,
1,0.846153846,,,,
0.944444444,0.846153846,,,,
0.944444444,0.846153846,,,,
0.944444444,0.846153846,,,,
0.944444444,0.846153846,,,,
0.888888889,0.846153846,,,,
0.888888889,0.846153846,,,,
0.888888889,0.846153846,,,,
0.888888889,0.846153846,,,,
0.888888889,0.846153846,,,,
0.888888889,0.846153846,,,,
0.888888889,0.846153846,,,,
0.888888889,0.769230769,,,,
0.888888889,0.769230769,,,,
0.888888889,0.769230769,,,,
0.888888889,0.769230769,,,,
0.888888889,0.769230769,,,,
0.833333333,0.769230769,,,,
0.833333333,0.769230769,,,,
0.833333333,0.692307692,,,,
0.777777778,0.692307692,,,,
0.777777778,0.692307692,,,,
0.777777778,0.692307692,,,,
0.777777778,0.692307692,,,,
0.777777778,0.692307692,,,,
0.777777778,0.692307692,,,,
0.777777778,0.692307692,,,,
0.722222222,0.692307692,,,,
0.722222222,0.692307692,,,,
0.666666667,0.692307692,,,,
0.666666667,0.692307692,,,,
0.666666667,0.692307692,,,,
0.555555556,0.692307692,,,,
0.555555556,0.692307692,,,,
0.5,0.692307692,,,,
0.222222222,0.538461538,,,,
0.166666667,0.538461538,,,,
0.166666667,0.538461538,,,,
0.111111111,0.538461538,,,,
0.111111111,0.461538462,,,,
0.055555556,0.461538462,,,,
0.055555556,0.307692308,,,,
0.055555556,0.153846154,,,,
0.055555556,0.153846154,,,,
0.055555556,0.153846154,,,,
0.055555556,0.153846154,,,,
0.055555556,0.153846154,,,,
0.055555556,0.153846154,,,,
0.055555556,0.153846154,,,,
0.055555556,0.153846154,,,,
0.055555556,0.076923077,,,,
0.055555556,0.076923077,,,,
0,0.076923077,,,,
0,0.076923077,,,,
0,0.076923077,,,,
0,0.076923077,,,,
0,0,,,,
0,0,,,,
0,0,,,,
0,0,,,,
0,0,,,,
0,0,,,,
0,0,,,,
0,0,,,,
0,0,,,,
0,0,,,,
0,0,,,,
0,0,,,,
0,0,,,,
